"value","lang","property","count","alternative_label","alternative_lang"
D.J,de,hasSubject,3,,
D.J.BWA,de,hasSubject,3,,
D.J.ZST,de,hasSubject,3,,
D.L.ABS,de,hasSubject,3,,
D.L.PMP,de,hasSubject,3,,
E.F.ABW,de,hasSubject,3,,
E.F.FOR,de,hasSubject,3,,
Erpressung,de,hasSubject,3,,
Forderung bezahlt,de,hasSubject,3,,
Geist (moderner),de,hasSubject,3,,
Jude,de,hasSubject,3,,
Juristisches Dokument,de,hasSubject,3,,
K.P.CHR,de,hasSubject,3,,
linked open data,en,hasSubject,3,,
Neolithic Greece and Anatolia,,hasSubject,3,,
online site database,,hasSubject,3,,
Pamphlet,de,hasSubject,3,,
Papal State,en,hasSubject,3,,
Personalpolitik,de,hasSubject,3,,
Pfleggericht,en,hasSubject,3,,
Politische Organisierung,de,hasSubject,3,,
Privatrechtliche Vereinbarung,de,hasSubject,3,,
research event,en,hasSubject,3,,
Schuldrecht,de,hasSubject,3,,
semantic technologies,,hasSubject,3,,
Stadtgericht,en,hasSubject,3,,
Tagebuch,de,hasSubject,3,,
TEI schema,en,hasSubject,3,,
T.F.ERP,de,hasSubject,3,,
T.F.SCH,de,hasSubject,3,,
Zustellung,de,hasSubject,3,,
Akt,de,hasSubject,2,,
Aktenübersicht,de,hasSubject,2,,
Anklage,de,hasSubject,2,,
Anweisun,de,hasSubject,2,,
artefact,en,hasSubject,2,,
Aufgabeabschnitt,de,hasSubject,2,,
Aufruf,de,hasSubject,2,,
Auszug,de,hasSubject,2,,
Berufungsbescheid,de,hasSubject,2,,
Bestechung,de,hasSubject,2,,
Bibliography,,hasSubject,2,,
botany,en,hasSubject,2,,
Briefausgabe,de,hasSubject,2,,
Briefumschlag,de,hasSubject,2,,
cave,en,hasSubject,2,,
cemetery,en,hasSubject,2,,
Commissariat,en,hasSubject,2,,
Confederation,en,hasSubject,2,,
data integration,en,hasSubject,2,,
data sharing,en,hasSubject,2,,
Disziplinaranzeige,de,hasSubject,2,,
D.J.AKT,de,hasSubject,2,,
D.J.ANK,de,hasSubject,2,,
D.J.ARF,de,hasSubject,2,,
D.J.AUB,de,hasSubject,2,,
D.J.AZG,de,hasSubject,2,,
D.J.BEB,de,hasSubject,2,,
D.J.DAN,de,hasSubject,2,,
D.J.EEK,de,hasSubject,2,,
D.J.ENT,de,hasSubject,2,,
D.J.ERA,de,hasSubject,2,,
D.J.ERO,de,hasSubject,2,,
D.J.EXA,de,hasSubject,2,,
D.J.EXN,de,hasSubject,2,,
D.J.KSN,de,hasSubject,2,,
D.J.LEU,de,hasSubject,2,,
D.J.RMA,de,hasSubject,2,,
D.J.RVA,de,hasSubject,2,,
D.J.RVS,de,hasSubject,2,,
D.J.STG,de,hasSubject,2,,
D.J.STZ ,de,hasSubject,2,,
D.J.TST,de,hasSubject,2,,
D.J.UBS,de,hasSubject,2,,
D.J.UBW,de,hasSubject,2,,
D.J.VLB,de,hasSubject,2,,
D.J.VRF,de,hasSubject,2,,
D.J.VRG,de,hasSubject,2,,
D.J.ZRW,de,hasSubject,2,,
D.J.ZVP,de,hasSubject,2,,
D.K.AAS,de,hasSubject,2,,
D.K.LIS,de,hasSubject,2,,
D.L.GED,de,hasSubject,2,,
Druck mit handschriftliche Annotationen/Notate/Notizen,de,hasSubject,2,,
D.S.LSZ,de,hasSubject,2,,
D.S.PLK,de,hasSubject,2,,
Durchschlag mit sonstigen Schreibspuren,de,hasSubject,2,,
Edition,de,hasSubject,2,,
E.F.AEE,de,hasSubject,2,,
