value,lang,property,count,id,delete,separate,remove_trailing_space
historical newspapers,en,hasSubject,1,,,,
historical travel guides,en,hasSubject,13,,,,
History of diplomacy,en,hasSubject,1,,,,
Hofgericht,en,hasSubject,8,,,,
Hofmark,en,hasSubject,6,,,,
Holy Roman Empire,en,hasSubject,2,,,,
Honorar,de,hasSubject,1,,,,
house,en,hasSubject,7,,,,
Hügelgräber,,hasSubject,21,,,,
Hüyücektepe,,hasSubject,2,,,,
Image,en,hasCategory,188461,48512,,,
Image-based 3D modelling,,hasAppliedMethod,1,,,,
Imperial Circle,en,hasSubject,40,,,,
Imperial Free City,en,hasSubject,4,,,,
Imre Békessy,de,hasSubject,1,,,,
index file creation,,hasAppliedMethod,3,,,,
Indiskretion,de,hasSubject,1,,,,
Information,de,hasSubject,4,,,,
Inscription,en,hasSubject,1,,,,
Inscriptions,,hasSubject,1,,,,
interaction,en,hasSubject,787,,,,
Interactive Resource,en,hasCategory,0,48883,,,
Interaktive Ressource,de,hasCategory,0,48883,,,
interculturality,en,hasSubject,787,,,,
Internationales Postrecht,de,hasSubject,2,,,,
Intertextualität,de,hasSubject,11,,,,
interview,en,hasSubject,32,,,,
journalistic prose,en,hasSubject,1,,,,
Jude,de,hasSubject,3,,,,
Juristisches Dokument,de,hasSubject,3,,,,
K.K.BER,de,hasSubject,9,,,,
K.K.FAC,de,hasSubject,18,,,,
K.K.LIT,de,hasSubject,10,,,,
K.K.MED,de,hasSubject,13,,,,
K.K.SCH,de,hasSubject,10,,,,
K.K.STU,de,hasSubject,21,,,,
K.K.THE,de,hasSubject,12,,,,
K.K.VER,de,hasSubject,6,,,,
K.P.CHR,de,hasSubject,3,,,,
K.P.NAT,de,hasSubject,4,,,,
K.P.SOZ,de,hasSubject,19,,,,
Kanal,de,hasSubject,7,,,,
Kapelle,de,hasSubject,7,,,,
Karl Baedeker,en,hasSubject,13,,,,
Karl Kraus,de,hasSubject,141,,,,
Karten,,hasAppliedMethod,1,,,,
Karten,,hasSubject,1,,,,
Kassabestätigung,de,hasSubject,10,,,,
Kassazettel,de,hasSubject,5,,,,
Keramik,,hasSubject,21,,,,
Keramik,de,hasSubject,7,,,,
Kingdom,en,hasSubject,79,,,,
Klage,de,hasSubject,28,,,,
Klage wegen Forderung,de,hasSubject,1,,,,
Klagebeantwortung,de,hasSubject,6,,,,
Klagrückziehung,de,hasSubject,6,,,,
Koalitionsfreiheit,de,hasSubject,16,,,,
Koalitionsrecht,de,hasSubject,1,,,,
Kommissionsbezirk der Provinzstadt,en,hasSubject,8,,,,
Kongress von Aachen,de,hasSubject,1,,,,
Kongress von Laibach,de,hasSubject,1,,,,
Kongress von Troppau,de,hasSubject,1,,,,
Kongress von Verona,de,hasSubject,1,,,,
Kongressakten,de,hasSubject,1,,,,
Konterrevolution,de,hasSubject,1,,,,
Kontrolliertes Vokabular,de,hasCategory,2,220409,,,
Konzept (jur.),de,hasSubject,10,,,,
Kopie,de,hasSubject,223,,,,
Korpus,de,hasCategory,4,139812,,,
Korrespondenz,de,hasSubject,7,,,,
Kostenaufstellung,de,hasSubject,14,,,,
Kostenbestimmungsbeschluss,de,hasSubject,6,,,,
Kostenfestsetzung,de,hasSubject,40,,,,
Kostennote,de,hasSubject,2,,,,
Kreis,en,hasSubject,63,,,,
Kronos-Verlag,de,hasSubject,1,,,,
Kündigung,de,hasSubject,11,,,,
Ladung,de,hasSubject,87,,,,
Lagervorstadt,,hasSubject,21,,,,
Landeskommissariat,en,hasSubject,23,,,,
Landgericht,en,hasSubject,591,,,,
Landgraviate,en,hasSubject,1,,,,
language choice,en,hasSubject,1,,,,
language contact,en,hasSubject,1,,,,
language mapping,en,hasSubject,1,,,,
language variation,en,hasSubject,1,,,,
Laser Scanning,,hasAppliedMethod,1,,,,
Laufbahn,de,hasSubject,1,,,,
Laufbahn (Folgen),de,hasSubject,1,,,,
Lebensumstände,de,hasSubject,5,,,,
Legionslager,,hasSubject,21,,,,
leisure,en,hasSubject,12,,,,
leisure conversation,en,hasSubject,105,,,,
leisure interview,en,hasSubject,25,,,,
lemmatization,en,hasSubject,315,,,,
lemmatization,,hasAppliedMethod,7,,,,
Lesbos,de,hasSubject,13,,,,
Lesezeichen,de,hasSubject,2,,,,
Leumundsnote,de,hasSubject,2,,,,
Lexical Resource,en,hasCategory,3,139817,,,
lexical resources,en,hasSubject,1,,,,
Lexikalische Ressource,de,hasCategory,3,139817,,,
linguistic landscape,en,hasSubject,1,,,,
linked open data,en,hasSubject,3,,,,
linked open data,,hasSubject,2,,,,
Liste,de,hasSubject,2,,,,
Liste (jur.),de,hasSubject,7,,,,
Liste (korr.),de,hasSubject,2,,,,
Literarische Berichtigung,de,hasSubject,10,,,,
Literarischer Text,de,hasSubject,7,,,,
