hasSubject;Häufigkeit;Nichtbeachtung weil;Aufnahme weil;Anmerkung
Pamphlet;3;;;
Papal State;3;Ort;;
Personalpolitik;3;;;
Pfleggericht;3;;;
Politische Organisierung;3;;;
Privatrechtliche Vereinbarung;3;;;
Schuldrecht;3;Disziplin;;
Stadtgericht;3;;;
T.F.ERP;3;zu speziell/nicht wiederverwendbar;;
T.F.SCH;3;zu speziell/nicht wiederverwendbar;;
Tagebuch;3;;;
TEI schema;3;;;
Zustellung;3;;;
Akt;2;;;
Aktenübersicht;2;;;
Anklage;2;;;
Anweisun;2;;;Typo
Aufgabeabschnitt;2;;;
Aufruf;2;;;
Auszug;2;;;
Berufungsbescheid;2;;;
Bestechung;2;;;
Bibliography;2;;;"Übersetzung von ""Bibliographie"""
Briefausgabe;2;;;
Briefumschlag;2;;;
Commissariat;2;;;
Confederation;2;;;
"D.J.AKS""";2;zu speziell/nicht wiederverwendbar;;
D.J.AKT;2;zu speziell/nicht wiederverwendbar;;
D.J.ANK;2;zu speziell/nicht wiederverwendbar;;
D.J.ARF;2;zu speziell/nicht wiederverwendbar;;
D.J.AUB;2;zu speziell/nicht wiederverwendbar;;
D.J.AZG;2;zu speziell/nicht wiederverwendbar;;
D.J.BEB;2;zu speziell/nicht wiederverwendbar;;
D.J.DAN;2;zu speziell/nicht wiederverwendbar;;
D.J.EEK;2;zu speziell/nicht wiederverwendbar;;
D.J.ENT;2;zu speziell/nicht wiederverwendbar;;
D.J.ERA;2;zu speziell/nicht wiederverwendbar;;
D.J.ERO;2;zu speziell/nicht wiederverwendbar;;
D.J.EXA;2;zu speziell/nicht wiederverwendbar;;
D.J.EXN;2;zu speziell/nicht wiederverwendbar;;
D.J.KSN;2;zu speziell/nicht wiederverwendbar;;
D.J.LEU;2;zu speziell/nicht wiederverwendbar;;
D.J.RMA;2;zu speziell/nicht wiederverwendbar;;
D.J.RVA;2;zu speziell/nicht wiederverwendbar;;
D.J.RVS;2;zu speziell/nicht wiederverwendbar;;
D.J.STG;2;zu speziell/nicht wiederverwendbar;;
D.J.STZ;2;zu speziell/nicht wiederverwendbar;;
D.J.TST;2;zu speziell/nicht wiederverwendbar;;
D.J.UBS;2;zu speziell/nicht wiederverwendbar;;
D.J.UBW;2;zu speziell/nicht wiederverwendbar;;
D.J.VLB;2;zu speziell/nicht wiederverwendbar;;
D.J.VRF;2;zu speziell/nicht wiederverwendbar;;
D.J.VRG;2;zu speziell/nicht wiederverwendbar;;
D.J.ZRW;2;zu speziell/nicht wiederverwendbar;;
D.J.ZVP;2;zu speziell/nicht wiederverwendbar;;
D.K.AAS;2;zu speziell/nicht wiederverwendbar;;
D.K.LIS;2;zu speziell/nicht wiederverwendbar;;
D.L.GED;2;zu speziell/nicht wiederverwendbar;;
D.S.LSZ;2;zu speziell/nicht wiederverwendbar;;
D.S.PLK;2;zu speziell/nicht wiederverwendbar;;
Disziplinaranzeige;2;;;
Druck + handschriftliche Annotationen/Notate/Notizen, M.D.HSN;2;;;
Druck mit handschriftlichen Annotationen;2;;;"Ähnlichkeit mit ""Druck mit handschriftlichen Annotationen"""
Druck mit handschriftlichen Überarbeitungen;2;;;"Ähnlichkeit mit ""Druck mit handschriftlichen Annotationen"""
Durchschlag mit handschriftlichen Annotation;2;;;"Ähnlichkeit mit ""Durchschlag mit handschriftlichen Annotationen"""
Durchschlag mit sonstigen Schreibspuren;2;;;
Durschlag mit handschriftlichen Überarbeitungen;2;;;"Ähnlichkeit mit ""Durchschlag mit handschriftlichen Annotationen"""
E.F.AEE;2;zu speziell/nicht wiederverwendbar;;
E.F.GEL;2;zu speziell/nicht wiederverwendbar;;
Edition;2;;;
Ehrenerklärung;2;;;
Entschuldigung;2;;;
Entwurf;2;;;
Eröerterung;2;;;
Ersatzanspruch;2;;;
Exekutionsausweis;2;;;
Expensen-Note;2;;;
Falsche Zeugenaussage;2;;;
Fotografie;2;;;
Fotografie (Mat.);2;Disziplin;;
Fotografie (Obj.);2;;;
Friedrich Austerlitz;2;Eigenname;;
Fundbearbeitung;2;;;
Gedicht;2;;;
Geldstrafe;2;;;
group designations;2;;;
Historical Network Research;2;Disziplin;;
Holy Roman Empire;2;;;
Hüyücektepe;2;Ort;;
Internationales Postrecht;2;Disziplin;;
Kopie;2;;;
Kostennote;2;;;
Lesezeichen;2;;;
Leumundsnote;2;;;
Liste;2;;;
Liste (korr.);2;;;
Literarisches Werk;2;;;
Lokalpolitik;2;;;
Luftkrieg;2;;;"Ähnlichkeit mit ""aerial warfare"""
Mandat (politisches);2;;;
Manuskript mit handschriftlichen Annotationen;2;;;
Manuskript mit handschriftlichen Annotationen;2;;;"Ähnlichkeit mit ""Manuskript mit handschriftlichen Annotationen"""
Manuskript mit handschriftlicher Mitteilung;2;;;"Ähnlichkeit mit ""Manuskript mit handschriftlichen Annotationen"""
Mappe, M.S.MAP;2;;;
Marie Turnowsky;2;Eigenname;;
Marktgericht;2;;;
material culture;2;;;
Medieval Austria;2;;;
Medieval Germany;2;;;
Medieval Prosopography;2;Disziplin;;
Middle Ages;2;Periode/Phase;;
Mitschrift;2;;;
Mitschriften;2;;;"Ähnlichkeit mit ""Mitschrift"""
Occupied Territory;2;;;
Order of the Golden Fleece;2;;;
Personalrat;2;;;
Plakat;2;;;
pottery studies;2;Disziplin;;
Protectorate;2;;;
Protest;2;;;
Rechtsmittelanmeldung;2;;;
Revisionsbeantwortung;2;;;
Revisionsschrift;2;;;
S.F.FRI;2;zu speziell/nicht wiederverwendbar;;
S.F.MAR;2;zu speziell/nicht wiederverwendbar;;
sights;2;zu allgemein/nicht aussagekräftig;;
small finds;2;;;
Soziale Fürsorge;2;;;
Squeezes;2;;;
T.F.BES;2;zu speziell/nicht wiederverwendbar;;
T.F.FZA;2;zu speziell/nicht wiederverwendbar;;
Tagebücher;2;;;
Testament;2;;;
Tonaufnahmen;2;;;
transcription conventions;2;;;
Tyoskript mit handschriftlichen Überarbeitungen;2;;;"Ähnlichkeit mit ""Typoskript mit handschriftlichen Überarbeitungen"""
Typoskript mit handschirftlichen Überarbeitungen;2;;;"Ähnlichkeit mit ""Typoskript mit handschriftlichen Überarbeitungen"""
Typoskript mit handschriftlichen Änderungen;2;;;"Ähnlichkeit mit ""Typoskript mit handschriftlichen Überarbeitungen"""
Typoskript mit handschriftlichen Überarbeitungen;2;;;"Ähnlichkeit mit ""Typoskript mit handschriftlichen Überarbeitungen"""
Typoskript mit handshcriftlichen Annotationen;2;;;"Ähnlichkeit mit ""Typoskript mit handschriftlichen Überarbeitungen"""
Typoskript mit sonstigen Schreibspuren;2;;;
Typoskript mit sonstigen Schreibspuren;2;;;"Ähnlichkeit mit ""Typoskript mit sonstigen Schreibspuren"""
Typoskript, M.T.;2;;;
Typoykript;2;;;Typo
Überweisung;2;;;
Überweisungsbeschluss;2;;;
Vereins- und Versammlungsfreiheit;2;;;
Verfügung;2;;;
Verlassenschaftsabhandlung;2;;;
Verlautbarung;2;;;
Verrechnung;2;;;
Versammlung;2;;;
Yeldeğirmentepe;2;Ort;;
Zahlungsverpflichtung;2;;;
Zeitun;2;;;Typo
Zurückweisung (jur.);2;;;
Zweiter Weltkrieg;2;Periode/Phase;;
25er-Ausschuss, Fünfundzwanziger-Ausschuss;1;;;
Alfred Kerr;1;Eigenname;;
Änderung;1;;;
Arabic linguistics;1;;;
Auflösung des Vertrags;1;;;
Ausbleiben der Rückzahlung;1;;;
Ausschuss;1;;;
Austrian magazines;1;;;
Austrian media landscape;1;;;
Austrian newspapers;1;;;
Austrian Press Agency;1;;;
Austrian press releases;1;;;
Bauaufnahme;1;;;
Beförderungsdienstfrist;1;;;
Beleidigung;1;;;
Beschlagnahme aufgehoben;1;;;
Bildungsreform;1;;;
Bundespolizeidirektion;1;;;
C.V.VER;1;zu speziell/nicht wiederverwendbar;;
City District;1;;;
Concert of Europe;1;;;
Congress files;1;;;
Congress of Aix-la-chapelle;1;;;
